,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,17348.000000000084,,,,,,,,,,,,,,,,,
,,,23772.000000000236,26739.999999999818,29879.999999999905,,,,,,,,,,,,,,
,,,,31647.999999999673,35232.00000000004,38032.000000000065,41375.99999999963,44808.00000000007,48063.99999999988,,,,,,,,,,
,,,,,39968.000000000226,43887.99999999971,47484.00000000097,49924.00000000008,54460.00000000062,57308.00000000036,61148.00000000087,64532.00000000047,67079.99999999936,71711.99999999933,,,,,
,,,,,,47412.000000000015,50711.999999999425,57376.000000000095,61192.000000001026,63952.00000000045,68075.99999999914,71412.0000000018,74339.9999999994,78603.9999999999,83248.00000000022,87180.00000000003,91023.99999999734,95216.0000000024,98904.00000000188
,,,,,,,58003.99999999595,62276.00000000333,65547.99999999972,71127.99999999808,74035.99999999955,78504.00000000146,83516.00000000125,88864.00000000182,91559.99999999942,94448.00000000253,100296.00000000194,105979.99999999885,109631.9999999995
,,,,,,,,65528.00000000137,71347.99999999774,76912.00000000009,81372.00000000178,86952.00000000015,91768.0000000054,95399.99999999438,101712.00000000269,105719.99999999804,109712.00000000182,114355.99999999546,118923.99999999804
,,,,,,,,,80076.00000000004,82900.00000000575,88867.99999999972,94080.00000000527,99295.99999999539,105015.99999999555,108031.9999999979,112772.00000000322,119720.00000000093,122048.00000000127,128824.00000000517
,,,,,,,,,,90476.000000006,96796.00000000122,101832.0000000017,104616.00000000182,111492.00000000192,118696.00000000703,123347.99999999646,127092.00000000643,129640.00000000196,139347.9999999947
,,,,,,,,,,,102859.99999999795,109187.99999999785,114187.99999999507,120947.9999999985,124544.00000000198,131267.99999999328,135027.99999999482,143307.99999999753,149059.99999999863
,,,,,,,,,,,,113623.9999999944,120504.0000000146,126504.00000000061,134704.00000000992,139887.99999999913,146055.9999999944,150304.00000000553,155148.00000000052
,,,,,,,,,,,,,128188.00000001572,136420.0000000082,142691.99999999316,146767.9999999838,152975.9999999847,159359.9999999995,166399.9999999888
,,,,,,,,,,,,,,140007.99999999814,150520.0000000073,151040.00000000893,166579.99999999616,173252.0000000015,176663.99999999529
,,,,,,,,,,,,,,,158216.00000000658,166012.00000000207,173252.0000000015,178896.00000000172,186039.99999999843
,,,,,,,,,,,,,,,,175751.9999999957,179380.000000009,187943.999999991,194475.99999999453
,,,,,,,,,,,,,,,,,189108.0000000045,197903.99999999764,206835.99999999916
,,,,,,,,,,,,,,,,,,203480.00000000253,212640.00000000393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,15944.00000000107,,,,,,,,,,,,,,,,,
,,,26171.999999995423,26556.00000000646,26867.99999999323,,,,,,,,,,,,,,
,,,,38920.000000004504,38900.00000000171,40244.00000000483,42188.000000003,39871.99999999192,42016.00000000028,,,,,,,,,,
,,,,,57952.000000014435,60552.000000004824,58931.999999991545,60283.99999999934,58483.99999999643,61047.99999999244,63028.00000000274,61659.99999998561,61496.00000000532,61636.00000000713,,,,,
,,,,,,79039.99999999911,79611.99999996893,76156.00000001166,80200.00000001915,82867.9999999693,76367.99999996669,83784.00000001563,83372.00000003265,83236.00000000653,85340.0000000093,84347.99999999853,88128.00000001176,83668.00000001007,86891.99999999175
,,,,,,,107691.9999999859,109987.99999999421,102860.00000000682,106920.00000002366,106968.00000001617,104743.99999999662,112167.99999999694,111983.99999997832,109948.00000002414,112492.00000001736,117259.99999999459,109124.00000002266,113668.0000000112
,,,,,,,,136591.99999999316,136612.00000001374,139648.0000000011,137775.99999997392,140719.9999999875,136015.9999999766,139275.99999998818,143412.00000000498,138408.0000000054,149568.00000000215,141131.99999997052,140024.00000002526
,,,,,,,,,175763.9999999938,174008.0000000077,176543.9999999785,175148.0000000072,177580.00000000605,182012.00000000026,177896.00000000405,178088.00000000958,177359.99999999307,177371.9999999912,178015.9999999853
,,,,,,,,,,216947.99999998792,215348.00000001298,223167.99999998693,217612.0000000026,222687.9999999909,219343.99999999243,224644.00000000495,227988.0000000034,226571.99999997602,225012.00000000666
,,,,,,,,,,,272787.9999999772,266891.99999999854,271764.0000000188,270043.99999999156,273183.9999999863,274007.99999998783,270152.0000000101,270539.9999999969,280404.0000000185
,,,,,,,,,,,,331976.0000000116,328880.0000000336,331368.0000000119,326348.00000000297,324139.9999999928,330199.99999996944,335639.99999998376,332140.0000000096
,,,,,,,,,,,,,395864.0000000102,388479.99999998,392288.00000000064,398780.0000000163,393416.000000002,395836.00000000274,394399.9999999903
,,,,,,,,,,,,,,467387.99999999965,463495.99999999214,473691.99999998556,465883.9999999742,473607.99999999866,467932.00000003306
,,,,,,,,,,,,,,,555547.9999999591,546924.0000000042,551111.9999999892,554243.9999999971,548764.0000000482
,,,,,,,,,,,,,,,,650900.0000000498,638024.0000000015,647120.000000001,645700.0000000334
,,,,,,,,,,,,,,,,,748388.0000000198,747811.9999999678,753443.9999999875
,,,,,,,,,,,,,,,,,,860711.9999999923,863331.9999999856
